Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Lipides,"8,086150002",g,,,,Protéines,"1,01",g,,,,,,,,,,,,,,,,Thé,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Glucides,"20,18350009",g,,,,Lipides,"0,1",g,,,,,,,,,,,,,,,,Smoothies,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,Calcium,"96,05275019",mg,,,,Glucides,"1,5",g,,,,,,,,,,,,,,,,Jus de fruits frais,,,,
,"0,25",bouquets,Persil plat,Primeur ou producteur,,,Vitamines C,"52,50425004",mg,,,,Calcium,"35,3",mg,,,,,,,,,,,,,,,,Taboulé fait maison,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,"1,95",mg,,,,,,,,,,,,,,,,Salade de chèvre chaud,,,,
Salade de pousse de soja & maïs,75,g,Pousses de soja,Primeur ou producteur,"Détaillez la carotte en lanières de quelques centimètres de longueur, puis découpez les lanières en fins bâtonnets. Faites cuire les épis de maïs dans de l'eau bouillante 5 minutes ou au feu de bois, puis épépinez les épis pour récupérer le maïs.

Dans un saladier, mélangez la sauce soja, le jus de citron, le sel et le poivre. Ajoutez les batônnets de carotte, les germes de soja et le maïs. Mélangez et réservez au frais jusqu'au moment de servir","Dans la vinaigrette, vous pouvez changer le vinaigre par de la sauce soja si vous en avez sous la main !",Calories,"162,35",kcal,,1 tranche de pain de mie,35 g,Calories,"99,4",kcal,,,,,,,,,,,,,,,,Salade de betterave,,,,
,75,g,Maïs,Primeur ou producteur,,,Protéines,"4,70565",g,,,,Protéines,"2,6635",g,,,,,,,,,,,,,,,,Salade de pousse de soja & maïs,,,,
,"0,4",,Carottes,Primeur ou producteur,,,Lipides,"9,07115",g,,,,Lipides,"1,5225",g,,,,,,,,,,,,,,,,Salade de pois chiche à la grecque,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Glucides,"13,546",g,,,,Glucides,"17,78",g,,,,,,,,,,,,,,,,Salade endive & bleu,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Calcium,"28,10275",mg,,,,Calcium,"42,7",mg,,,,,,,,,,,,,,,,Salade de concombre à la crème,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,Vitamines C,"8,508",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,Salade de chou et pommes,,,,
,,,Sel & Poivre,Épicerie,,,,,,,Fromage de chèvre,100 g,Calories,440,kcal,,,,,,,,,,,,,,,,Salade de pomme de terre,,,,
Salade de pois chiche à la grecque,100,g,Pois chiches cuits,Primeur ou producteur,"Préparez la vinaigrette en mélangeant l'huile d'olive, le vinaigre, le jus de citron, le sel et le poivre. Réservez au frais.

Pelez l'oignon rouge et ciselez-le finement. Coupez les tomates cerises en deux et le concombre en petits dés. Ciselez le persil plat.

Dans un saladier, mélangez les pois chiche, l'oignon rouge, la salade et le fromage émietté, les tomates, le concombre, les olives et le persil. Arrosez de vinaigrette et mélangez bien.","Vous pouvez ajouter des herbes de votre choix dans la vinaigrette pour la parfumer: origan, herbes de Provence, etc.. …",Calories,"432,5175",kcal,,,,Protéines,"30,5",g,,,,,,,,,,,,,,,,Salade de poulet bressane,,,,
,3,,Tomates cerises,Primeur ou producteur,,,Protéines,"18,7919",g,,,,Lipides,"35,6",g,,,,,,,,,,,,,,,,Salade de tomate,,,,
,"0,25",,Concombres,Primeur ou producteur,,,Lipides,"26,94865",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,Coleslaw,,,,
,50,g,Feta ou fromage de brebis,Fromagerie,,,Glucides,"27,32225",g,,,,Calcium,895,mg,,,,,,,,,,,,,,,,Champignons à la grecque,,,,
,25,g,Olives noires,Primeur ou producteur,,,Calcium,"353,51525",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,Carottes râpées,,,,
,"0,25",,Oignons rouges,Primeur ou producteur,,,Vitamines C,"68,80425",mg,,1 gousse d'ail,5 g,Calories,"6,85",kcal,,,,,,,,,,,,,,,,Tomates mozzarella,,,,
,"37,5",g,Salade verte,Primeur ou producteur,,,,,,,,,Protéines,"0,2905",g,,,,,,,,,,,,,,,,Pastèque & melon,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,,,,,,,Lipides,"0,017",g,,,,,,,,,,,,,,,,"Radis, pain & beurre",,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,,,,,,,Glucides,"1,06",g,,,,,,,,,,,,,,,,Œufs dur & mayonnaise,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,,,Calcium,"4,025",mg,,,,,,,,,,,,,,,,Soupe de tomate aux lentilles,,,,
,"0,25",bouquets,Persil plat,Primeur ou producteur,,,,,,,,,Vitamines C,"0,905",mg,,,,,,,,,,,,,,,,Soupe de légumes,,,,
,,,Sel & Poivre,Épicerie,,,,,,,1 c. à c. Moutarde,6 g,Calories,"9,12",kcal,,,,,,,,,,,,,,,,Soupe d'orties,,,,
Salade endive & bleu,50,g,Bleu (fromage),Fromagerie,"Lavez puis coupez la base amère des endives. Détachez-les, feuilles par feuilles, et coupez-les en petits morceaux. Coupez le Bleu d'Auvergne en dés et concassez les cerneaux de noix. Épluchez et coupez-les pommes en petits dés.

Préparez la vinaigrette en mélangeant l'huile d'olive, le vinaigre, le sel et le poivre. Mélangez le Bleu, les pommes, les endives, les noix et arrosez de vinaigrette.",N'hésitez pas à rajouter des raisins secs !,Calories,"556,225",kcal,,,,Protéines,"0,4152",g,,,,,,,,,,,,,,,,Soupe de pois,,,,
,1,,Endives,Primeur ou producteur,,,Protéines,"16,45415",g,,,,Lipides,"0,672",g,,,,,,,,,,,,,,,,Fondue à la tomate,,,,
,"0,5",,Pommes,Primeur ou producteur,,,Lipides,"45,701",g,,,,Glucides,"0,2598",g,,,,,,,,,,,,,,,,Nems,,,,
,5,,Noix,Primeur ou producteur,,,Glucides,"16,2205",g,,,,Calcium,"5,178",mg,,,,,,,,,,,,,,,,Samoussas,,,,
