Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,10,g,Beurre,Épicerie,,,Glucides,"5,43645",g,,,,Vitamines C,687,mg,,,,,,,,,,,,,,,,,,,,
,5,g,Sucre,Épicerie,,,Calcium,"11,3045",mg,,1 Chou rouge,1500 g,Calories,"436,5",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,10675",mg,,,,Protéines,"20,1",g,,,,,,,,,,,,,,,,,,,,
Biscuits et gâteaux,"0,1",,Œufs,Épicerie,"Cassez les œufs dans un saladier et y ajouter le sucre. Mélangez avec une cuillère de bois ou un fouet jusqu'à ce que l'appareil blanchisse. Ajoutez la farine, puis mélangez avec les doigts pour obtenir une pâte sablée. Ajoutez le beurre et pétrir pour obtenir une pâte bien homogène. Frappez la pâte en la lançant d'une main à l'autre jusqu'à obtenir une boule régulière. Si la pâte semble trop grasse et molle, y rajouter un peu de farine. Laissez reposer la pâte au réfrigérateur durant un quart d'heure.

Etalez de la farine sur la table et sur le rouleau à pâtisserie, puis étaler la pâte sur 5 millimètres d'épaisseur. Découpez au couteau, à l'emporte-pièces ou avec un verre les formes que vous souhaitez. Posez ces formes sur une tôle beurrée ou recouverte de papier sulfurisé. Placez la plaque sur un feu chaud mais sans flammes ou dans des papillotes en argile, et laissez cuire sur le feu pendant 20 minutes environ, en fonction de la cuisson des biscuits (retourner à mi-cuisson si cuisson sur grille).","N'hésitez pas à rajouter des arômes naturels dans la pâte ou des garnitures (pépites de chocolat, confiture, etc. …) !",Calories,"236,53",kcal,,,,Lipides,"2,7",g,,,,,,,,,,,,,,,,,,,,
,12,g,Sucre,Épicerie,,,Protéines,"3,12325",g,,,,Glucides,"67,5",g,,,,,,,,,,,,,,,,,,,,
,25,g,Farine,Épicerie,,,Lipides,"10,8648",g,,,,Calcium,672,mg,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Beurre,Épicerie,,,Glucides,"31,02395",g,,,,Vitamines C,"877,5",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"11,7008",mg,,1 Céléri en branche,500 g,Calories,"107,5",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Protéines,"3,3",g,,,,,,,,,,,,,,,,,,,,
Gâteau cuit au feu,"0,166666667",,Yaourts,Épicerie,"Mélangez tous les ingrédients ensemble dans un saladier.

Versez la pâte dans une poêle beurrée, puis faites cuire le gâteau 5 minutes par face sur le feu. Augmentez ou diminuez le temps de cuisson en fonction du feu. Laissez tiédir avant de démouler","N'hésitez pas à ajouter des fruits ou des garnitures (noix, pépites de chocolat, etc. …) dans le gâteau !",Calories,"496,8791672",kcal,,,,Lipides,"0,95",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Protéines,"9,371416689",g,,,,Glucides,18,g,,,,,,,,,,,,,,,,,,,,
,25,g,Beurre,Épicerie,,,Lipides,"24,08775001",g,,,,Calcium,242,mg,,,,,,,,,,,,,,,,,,,,
,20,g,Sucre,Épicerie,,,Glucides,"60,25975014",g,,,,Vitamines C,"30,25",mg,,,,,,,,,,,,,,,,,,,,
,"0,166666667",sachets,Levure chimique,Épicerie,,,Calcium,"212,4530304",mg,,Blanc de poulet fumé,100 g,Calories,137,kcal,,,,,,,,,,,,,,,,,,,,
,50,g,Farine,Épicerie,,,Vitamines C,"0,06875000138",mg,,,,Protéines,"29,2",g,,,,,,,,,,,,,,,,,,,,
Riz au lait,250,ml,Lait,Épicerie,"Faire bouillir le lait avec le sucre et l'extrait de vanille. Lorsque le lait bout, jeter le riz en pluie dans la casserole et diminuer le feu pour que l'ébullition soit très lente, le riz doit cuire très lentement.

Lorsque le riz affleure le lait, arrêtez le feu et laissez refroidir le mélange. Le riz va finir de s'imbiber de lait en refroidissant.",Rajoutez des zestes de citron ou d'orange dans le riz au lait !,Calories,"253,375",kcal,,,,Lipides,"1,76",g,,,,,,,,,,,,,,,,,,,,
,25,g,Riz,Épicerie,,,Protéines,"9,96",g,,,,Glucides,"1,2",g,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Sucre,Épicerie,,,Lipides,"4,1525",g,,,,Calcium,"12,9",mg,,,,,,,,,,,,,,,,,,,,
,,,Extrait de vanille,Épicerie,,,Glucides,"44,0125",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"298,71125",mg,,1 tige Basilic,15 g,Calories,"5,13",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"3,475",mg,,,,Protéines,"0,483",g,,,,,,,,,,,,,,,,,,,,
Fromage blanc/faisselle avec garnitures,100,g,Fromage blanc,Épicerie,"Rien de plus simple, servez directement le fromage blanc et la garniture, les jeunes s'occupent de repartir entre eux les différentes garnitures.","N'hésitez pas à faire vous-même vos garnitures (confiture, beurre de cacahuète, compote, pâte à tartiner, etc. …) !",Calories,"87,8",kcal,,,,Lipides,"0,0705",g,,,,,,,,,,,,,,,,,,,,
,30,g,Garnitures sucrées,Épicerie,,,Protéines,"7,18",g,,,,Glucides,"0,3825",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"4,5",g,,,,Calcium,"40,95",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"4,64",g,,,,Vitamines C,"2,175",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,119,mg,,Raisins secs,100 g,Calories,283,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,11",mg,,,,Protéines,"2,09",g,,,,,,,,,,,,,,,,,,,,
Yaourt,100,ml,Lait,Épicerie,"Chauffez le lait à environ 40 °C (on doit pouvoir tremper le doigts dedans sans se brûler). Ajoutez le yaourt dans le lait en remuant bien, et sucrez si nécessaire.

Remplissez des pots en verre avec ce mélange et refermez-les, puis laissez-les refroidir.","N'hésitez pas à ajouter des garnitures (sucre, citron, miel, chocolat, etc. …) !",Calories,"54,1875",kcal,,,,Lipides,"0,49",g,,,,,,,,,,,,,,,,,,,,
,"0,1",,Yaourts,Épicerie,,,Protéines,"3,76375",g,,,,Glucides,"62,4",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"1,92125",g,,,,Calcium,"63,8",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"5,77875",g,,,,Vitamines C,"3,47",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"131,625",mg,,Champignons de paris,100 g,Calories,"21,1",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"1,43125",mg,,,,Protéines,"2,62",g,,,,,,,,,,,,,,,,,,,,
Rose des sables,"42,5",g,Corn flakes,Épicerie,"Faites fondre au feu ou au bain-marie le chocolat et le beurre coupés en morceaux. Dès que le tout est fondu, sortez-le du feu et ajoutez le sucre, puis mélangez bien le tout. Ajoutez ensuite les corn flakes au mélange, puis mélangez bien.

Formez des boules à l'aide de vos mains ou de 2 cuillères, et déposez les sur une plaque ou une gamelle. Laissez-les refroidir plusieurs heures, jusqu'à ce que les boules soient solides.",N'hésitez pas à rajouter des noix ou des noisettes concassées dans le mélange chocolaté !,Calories,"599,975",kcal,,,,Lipides,"0,36",g,,,,,,,,,,,,,,,,,,,,
,25,g,Beurre,Épicerie,,,Protéines,"6,12375",g,,,,Glucides,"1,33",g,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Sucre,Épicerie,,,Lipides,"34,06975",g,,,,Calcium,"6,03",mg,,,,,,,,,,,,,,,,,,,,
,"37,5",g,Chocolat noir,Épicerie,,,Glucides,"65,1725",g,,,,Vitamines C,"3,09",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"107,26125",mg,,1 bouquet garni,100 g,Calories,319,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,06",mg,,,,Protéines,"8,36",g,,,,,,,,,,,,,,,,,,,,
Pain d'épice,"31,25",g,Farine,Épicerie,"Mélangez tous les ingrédients ensemble dans un saladier.

Versez la pâte dans une poêle beurrée, puis faites cuire le gâteau 5 minutes par face sur le feu. Augmentez ou diminuez le temps de cuisson en fonction du feu. Laissez tiédir avant de démouler","N'hésitez pas à ajouter des noix, des fruits secs ou confits dans la pâte avant la cuisson !",Calories,"248,045",kcal,,,,Lipides,"7,895",g,,,,,,,,,,,,,,,,,,,,
,2,c. à s.,Miel,Épicerie,,,Protéines,"3,335725",g,,,,Glucides,"37,75",g,,,,,,,,,,,,,,,,,,,,
,"12,5",ml,Crème fraîche épaisse,Épicerie,,,Lipides,"4,10235",g,,,,Calcium,1362,mg,,,,,,,,,,,,,,,,,,,,
,"0,125",sachets,Levure chimique,Épicerie,,,Glucides,"48,92375",g,,,,Vitamines C,"48,25",mg,,,,,,,,,,,,,,,,,,,,
,"0,125",c. à c.,Mélange 4 épices,Épicerie,,,Calcium,"131,0815",mg,,Mozarella,100 g,Calories,256,kcal,suisse,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,4005",mg,,,,Protéines,"16,9",g,,,,,,,,,,,,,,,,,,,,
Pain trappeur avec garnitures,"41,66666667",g,Farine,Épicerie,"Mélangez la levure et l'eau à température ambiante. Ajoutez la farine à la préparation, et mélangez jusqu’à ce que la pâte se décolle de la paroi du saladier.

Faites reposer la pâte au moins deux heures à température ambiante, dans le saladier recouvert d’un torchon.

A la fin du repos de la pâte, travaillez-la sur un plan de travail fariné. Créez ensuite un long boudin avec la pâte, puis enroulez-le sur une longue branche, dénuée de toute écorce. Installez la branche au-dessus d'un feu chaud mais sans flamme pendant une bonne heure. C’est cuit lorsque le pain se dégage facilement de la branche.","Ajoutez des garnitures salées (noix, olives, tomates séchées, herbes, etc. …) ou sucrés (pépites de chocolat, fruits, etc. …) dans la pâte après son repos !",Calories,"149,2933333",kcal,,,,Lipides,"19,7",g,,,,,,,,,,,,,,,,,,,,
,1,g,Levure boulangère fraîche,Épicerie,,,Protéines,"4,22",g,,,,Glucides,"1,33",g,,,,,,,,,,,,,,,,,,,,
,"0,083333333",c. à c. ,Sel,Épicerie,,,Lipides,"0,4178666667",g,,,,Calcium,545,mg,,,,,,,,,,,,,,,,,,,,
,"31,25",ml,Eau,,,,Glucides,"31,804",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"7,550000001",mg,,1 Melon,1000 g,Calories,330,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,003",mg,,,,Protéines,"7,3",g,,,,,,,,,,,,,,,,,,,,
Pain avec garnitures,"0,25",,Baguettes de pain,Boulangerie,"Rien de plus simple, donner juste le pain et la garniture aux jeunes, et laissez-les se débrouiller pour la répartition et la mise en place !",N'hésitez pas à faire le pain vous-même !,Calories,"176,875",kcal,,,,Lipides,2,g,,,,,,,,,,,,,,,,,,,,
,40,g,Garnitures sucrées,Épicerie,,,Protéines,"5,34375",g,,,,Glucides,"65,7",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"1,5625",g,,,,Calcium,123,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"33,875",g,,,,Vitamines C,288,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"12,5",mg,,1 pastèque,3500 g,Calories,"1221,5",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"3,125",mg,,,,Protéines,"21,7",g,,,,,,,,,,,,,,,,,,,,
Brioche avec garnitures,75,g,Brioche,Boulangerie,"Rien de plus simple, donner juste la brioche et la garniture aux jeunes, et laissez-les se débrouiller pour la répartition et la mise en place !",N'hésitez pas à faire la brioche vous-même ou à acheter de la brioche au chocolat ou aux pralines !,Calories,"280,5",kcal,,,,Lipides,"4,55",g,,,,,,,,,,,,,,,,,,,,
,40,g,Garnitures sucrées,Épicerie,,,Protéines,"7,3575",g,,,,Glucides,"258,3",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"11,025",g,,,,Calcium,"44,8",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"36,9",g,,,,Vitamines C,"339,5",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"22,5",mg,,1 radis,10 g,Calories,"1,14",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Protéines,"0,076",g,,,,,,,,,,,,,,,,,,,,
Gaufres,"13,33333333",g,Beurre,Épicerie,"/!\ ATTENTION /!\
Pour cette recette, il vous faut un moule à gaufre qui peut aller au feu.

Faites fondre le beurre, et mélangez-le au sucre. Battez les œufs à la fourchette ou au fouet, et ajoutez-les au mélange. Joignez la farine tamisée avec la levure en poudre. Versez le lait petit à petit, en délayant le mélange pour ne pas faire de grumeaux.

Graissez le gaufrier avec du beurre ou de l'huile neutre, et faites-les cuire pendant 2 à 3 minutes en retournant fréquemment le moule.","N'hésitez pas à ajouter des noix, des fruits secs ou confits dans la pâte avant la cuisson !",Calories,"327,8849999",kcal,,,,Lipides,"0,01",g,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Sucre,Épicerie,,,Protéines,"8,31893333",g,,,,Glucides,"0,124",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Lipides,"14,62183333",g,,,,Calcium,"3,2",mg,,,,,,,,,,,,,,,,,,,,
,"33,33333333",g,Farine,Épicerie,,,Glucides,"40,25716664",g,,,,Vitamines C,"2,75",mg,,,,,,,,,,,,,,,,,,,,
,"41,66666667",ml,Lait,Épicerie,,,Calcium,"169,6879167",mg,,1 baguette de pain,250 g,Calories,"707,5",kcal,,,,,,,,,,,,,,,,,,,,
,"0,1",sachets,Levure chimique,Épicerie,,,Vitamines C,"0,5791666667",mg,,,,Protéines,"21,375",g,,,,,,,,,,,,,,,,,,,,
Pudding revisité avec garnitures,50,g,Flocons d'avoine,Épicerie,"Faites bouillir l'eau dans une casserole, et ajoutez-y les flocons d'avoine. Remuez bien le tout pendant 5 minutes.

Enlevez le tout du feu et laissez refroidir le mélange, au moins une heure, voire toute la nuit si possible. 

Juste avant de servir, ajoutez le miel et mélangez l'ensemble.","N'hésitez pas à ajouter des noix, des fruits secs ou frais dans la pâte avant la cuisson !",Calories,"281,6",kcal,,,,Lipides,"6,25",g,,,,,,,,,,,,,,,,,,,,
,350,ml,Eau,,,,Protéines,"6,806",g,,,,Glucides,"135,5",g,,,,,,,,,,,,,,,,,,,,
,"1,5",c. à s.,Miel,Épicerie,,,Lipides,"3,255",g,,,,Calcium,50,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"53,34",g,,,,Vitamines C,"12,5",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"44,529",mg,,beurre,100 g,Calories,730,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,24",mg,,,,Protéines,"0,77",g,,,,,,,,,,,,,,,,,,,,
Granola fait maison,70,g,Flocons d'avoine,Épicerie,"Cassez les fruits à coques de telle manière que cela fasse des petit morceaux. Mettez tous les ingrédients dans un saladier moyen et mélangez quelques minutes jusqu'à ce que tout soit bien mélangé. Etalez le tout sur une plaque,  couvrez et placer sur un feu assez chaud mais sans flamme, en mélangeant toutes les 5 minutes, jusqu'à ce que ce soit suffisamment coloré.

Mélangez une dernière fois et laissez le granola refroidir sur la plaque. Mettez le granola dans un récipient hermétique et conservez-le à température ambiante.",N'hésitez pas à rajouter des pépites de chocolat ou des fruits secs dans le granola !,Calories,"716,89",kcal,,,,Lipides,"80,5",g,,,,,,,,,,,,,,,,,,,,
,"42,5",g,Mélange de fruits à coques,Primeur ou producteur,,,Protéines,"12,29885",g,,,,Glucides,"0,55",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile neutre ,Épicerie,,,Lipides,"40,2331",g,,,,Calcium,"18,4",mg,,,,,,,,,,,,,,,,,,,,
,"1,5",c. à s.,Miel,Épicerie,,,Glucides,"68,6955",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à c.,Cannelle,Épicerie,,,Calcium,"74,30125",mg,,1 œuf,60 g,Calories,84,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"0,8965",mg,,,,Protéines,"7,62",g,,,,,,,,,,,,,,,,,,,,
Chocolat chaud,250,ml,Lait,Épicerie,,N'hésitez pas à rajouter de la cannelle ou de l'extrait de vanille dans la préparation !,Calories,"356,65",kcal,,,,Lipides,"5,898",g,,,,,,,,,,,,,,,,,,,,
,40,g,Chocolat noir,Épicerie,,,Protéines,"11,172",g,,,,Glucides,"0,162",g,,,,,,,,,,,,,,,,,,,,
,5,g,Sucre,Épicerie,,,Lipides,"18,405",g,,,,Calcium,"46,08",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"35,395",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"342,9845",mg,,lentilles sèches,100 g,Calories,332,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"3,539",mg,,,,Protéines,"25,4",g,,,,,,,,,,,,,,,,,,,,
Thé,200,ml,Eau,,"Faites bouillir de l'eau, mettez-le thé dans une boule à thé ou un équivalent, puis sortez l'eau bouillante du feu et faites infuser le thé pendant 2 à 3 minutes dans une théière ou un récipient équivalent.",N'hésitez pas à faire votre thé vous-même avec des plantes locales !,Calories,0,kcal,,,,Lipides,"1,34",g,,,,,,,,,,,,,,,,,,,,
,2,g,Thé,Épicerie,,,Protéines,0,g,,,,Glucides,"50,6",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,0,g,,,,Calcium,"45,4",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,0,g,,,,Vitamines C,"4,5",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,0,mg,,1 pomme de terre,100 g,Calories,"76,6",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Protéines,"2,16",g,,,,,,,,,,,,,,,,,,,,
Smoothies,150,g,Fruits frais locaux,Primeur ou producteur,"Épluchez les fruits qui nécessitent d'être épluchés, puis mixez ou pressez les fruits. Mélangez avec le yaourt et le jus de citron, puis servez.","N'hésitez pas à rajoutez des plantes locales (menthe, verveine, etc. …) !",Calories,"40,9875",kcal,,,,Lipides,"0,18",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Yaourts,Épicerie,,,Protéines,"2,43275",g,,,,Glucides,"15,2",g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s.,Jus de citron,Primeur ou producteur,,,Lipides,"1,7664",g,,,,Calcium,"14,3",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"5,00725",g,,,,Vitamines C,"18,9",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"78,51",mg,,1 poireau,150 g,Calories,"48,9",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"1,07425",mg,,,,Protéines,"2,385",g,,,,,,,,,,,,,,,,,,,,
Jus de fruits frais,150,g,Fruits frais locaux,Primeur ou producteur,"Épluchez les fruits qui nécessitent d'être épluchés, puis mixez ou pressez les fruits. Mélangez l'ensemble et servez.",N'hésitez pas à mélanger différents fruits !,Calories,"67,5",kcal,,,,Lipides,"0,375",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protéines,"0,99",g,,,,Glucides,"7,35",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,3",g,,,,Calcium,"76,05",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"14,16",g,,,,Vitamines C,"27,75",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"15,75",mg,,1 navet,200 g,Calories,"53,6",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"78,9",mg,,,,Protéines,"1,64",g,,,,,,,,,,,,,,,,,,,,
Fruits frais,150,g,Fruits frais locaux,Primeur ou producteur,-,-,Calories,"80,25",kcal,,,,Lipides,"0,2",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protéines,"0,75",g,,,,Glucides,"9,4",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"0,75",g,,,,Calcium,80,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"16,8",g,,,,Vitamines C,37,mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"5,25",mg,,orties,100 g,Calories,57,kcal,les-calories.com,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"5,205",mg,,,,Protéines,"5,5",g,les-calories.com,,,,,,,,,,,,,,,,,,,
Salade d'épeautre,50,g,Épeautre,Épicerie,"Rincez l’épeautre et le faire tremper pendant 12h dans un grand bol d’eau froide, avant de le faire cuire 30 minutes dans de l’eau bouillante salée. Égouttez l’épeautre et laissez refroidir.

Lavez le poivron et le faire griller sur le feu pendant environ 25 minutes en le retournant de temps en temps. Dès que la peau est bien noire, laissez refroidir le poivron. Pelez ensuite le poivron et le couper en dès après avoir retiré les graines.

Épépinez et coupez-les tomates en petits morceaux, ciselez le bouquet de persil, coupez-les olives en petits morceaux, et tout mélanger dans un saladier avec l’épeautre les tomates

Ajoutez la gousse d’ail pressée, l’huile d’olive, le vinaigre, le jus de citron, salez et poivrez et bien mélanger. Réservez au frais.","N'hésitez pas à rajouter des tomates séchées, des pignons ou d'autres garnitures salées !",Calories,"300,3375",kcal,,,,Lipides,"0,7",g,les-calories.com,,,,,,,,,,,,,,,,,,,
,"0,5",,Tomates,Primeur ou producteur,,,Protéines,"9,375275",g,,,,Glucides,"7,1",g,les-calories.com,,,,,,,,,,,,,,,,,,,
,"0,25",,Poivrons,Primeur ou producteur,,,Lipides,"11,74915",g,,,,Calcium,630,mg,"L’ortie c’est Malin, Alix Lefief-Delcourt, Editions Leduc.s",,,,,,,,,,,,,,,,,,,
,"0,25",bouquets,Persil plat,Épicerie,,,Glucides,"34,8985",g,,,,Vitamines C,333,mg,"L’ortie c’est Malin, Alix Lefief-Delcourt, Editions Leduc.s",,,,,,,,,,,,,,,,,,,
,15,g,Olives noires,Primeur ou producteur,,,Calcium,"88,72525",mg,,pois cassés,100 g,Calories,344,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Vitamines C,"112,81175",mg,,,,Protéines,"22,8",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,,,,,,,Lipides,"1,44",g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,,,,,,,Glucides,52,g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,,,Calcium,"37,4",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,"1,4",mg,,,,,,,,,,,,,,,,,,,,
Salade de riz,70,g,Riz,Épicerie,"Faites cuire le riz une dizaine de minutes dans de l'eau bouillante salée, puis égouttez-le. Faites cuire les œufs 9 minutes dans de l'eau bouillante, puis enlevez la coquille des œufs. Faites cuire le thon.

Lavez les poivrons, épépinez-les et coupez-les en dés. Emiettez le thon, coupez-les tomates en dés et les œufs en petits morceaux.

Mélangez le tout avec l’huile d’olive, le vinaigre, le jus de citron, salez et poivrez dans un grand saladier. Réservez au frais.

Option végétarienne : Vous pouvez retirer le thon et ajouter du maïs, des coeurs de palmier ou d'artichaut.","N'hésitez pas à rajouter des tomates séchées, des pignons ou d'autres garnitures salées !",Calories,"468,75",kcal,,emmental,100 g,Calories,246,kcal,,,,,,,,,,,,,,,,,,,,
,1,,Œufs,Épicerie,,,Protéines,"19,86615",g,,,,Protéines,"30,6",g,,,,,,,,,,,,,,,,,,,,
,25,g,Thon,Poissonnerie,,,Lipides,"15,8024",g,,,,Lipides,14,g,,,,,,,,,,,,,,,,,,,,
,1,,Tomates,Primeur ou producteur,,,Glucides,"59,8905",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Poivrons,Primeur ou producteur,,,Calcium,"85,394",mg,,,,Calcium,950,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Vitamines C,"76,353",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,,,,,comté,100 g,Calories,418,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,,,,,,,Protéines,"27,2",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"34,5",g,,,,,,,,,,,,,,,,,,,,
Salade de lentilles,"62,5",g,Lentilles vertes,Primeur ou producteur,"Faire cuire les lentilles dans 2 fois plus d'eau bouillante qu'il y a de lentilles, jusqu'à ce que les lentilles aient absorbé toute l'eau.

Epluchez les carottes et râpez-les, et coupez très finement l'oignon.

Dans un grand saladiez, mélangez les carottes, les oignons, les pois chiches, les lentilles, l'huile d'olive, le vinaigre, le sel et le poivre. Laissez-le tout refroidir.","N'hésitez pas à rajouter des tomates séchées, des pignons ou d'autres garnitures salées !",Calories,"443,9",kcal,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,40,g,Pois chiches cuits,Primeur ou producteur,,,Protéines,"24,78665",g,,,,Calcium,993,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons rouges,Primeur ou producteur,,,Lipides,"10,981",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Carottes,Primeur ou producteur,,,Glucides,"55,23625",g,,1 Galette de riz,20 g,Calories,"24,4",kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Calcium,"90,56775",mg,,,,Protéines,"0,858",g,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Vitamines C,"6,1925",mg,,,,Lipides,"0,38",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,"4,38",g,,,,,,,,,,,,,,,,,,,,
Salade de pâtes,100,g,Pâtes,Épicerie,"Faites cuire les pâtes dans de l'eau bouillante salée, puis égouttez-le.

Lavez les poivrons, épépinez-les et coupez-les en dés. De même, coupez-les tomates en petits dés, et le fromage de chèvre en petits dés.

Mélangez le tout avec l’huile d’olive, le vinaigre, le jus de citron, le basilic, salez et poivrez dans un grand saladier. Réservez au frais.",N'hésitez pas à acheter des pâtes fraîches ou à les faire vous-même !,Calories,"782,35",kcal,,,,Calcium,26,mg,,,,,,,,,,,,,,,,,,,,
,50,g,Fromage de chèvre,Fromagerie,,,Protéines,"152,06815",g,,,,Vitamines C,0,mg,suisse,,,,,,,,,,,,,,,,,,,
,1,,Tomates,Primeur ou producteur,,,Lipides,"151,5124",g,,Échine de porc,100 g,Calories,198,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Poivrons,Primeur ou producteur,,,Glucides,"194,9285",g,,,,Protéines,18,g,,,,,,,,,,,,,,,,,,,,
,"0,5",tiges,Basilic,Épicerie,,,Calcium,"603,789",mg,,,,Lipides,14,g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Vitamines C,"200,0105",mg,,,,Glucides,"0,1",g,,,,,,,,,,,,,,,,,,,,
